NWS Creditted  - MS Fiscal Month Alt Name,Current Delivery - Sales SubLocation Name,NWS Creditted - MSTPID Account Name,Primary Product,Business Scenario,Sum of NWS MS Amt CUS,,,,,,,,,,,,,,,,,,,,
FY2013-P01,NSG,US PROCUREMENT AUTHORITY,Visual Studio,Custom Development,-225847.11,,,,,,,,,,,,,,,,,,,,
FY2013-P01,SLG,LA-STATE DEPTS & AGENCIES,SQL Server 2008 R2,Custom Development,299440,,,,,,,,,,,,,,,,,,,,
FY2013-P01,SLG,TX-COUNTY OF TRAVIS,SharePoint 2010_Applications,Custom Development,94080,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,BOEING COMPANY,SQL Server 2008 R2,Custom Development,77096,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,CAPITAL GROUP DATA SYSTEMS,SharePoint 2010_Applications,Custom Development,328000,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,FIRST AMERICAN FINANCIAL CORP,SharePoint 2010_Applications,Custom Development,34624,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,HAWAII MEDICAL SERVICE ASSOCIATION,BizTalk,Custom Development,-26474,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,HAWAIIAN AIRLINES INC,SharePoint 2010_Applications,Custom Development,145136.5,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,INFORMATION HANDLING SERVICES GROUP INC,Visual Studio,Custom Development,12310,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,PINNACLE WEST CAPITAL CORPORATION,SharePoint 2010_Applications,Custom Development,4112724,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,PIRYX INC,Visual Studio,Custom Development,396000,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,QUALCOMM,SharePoint 2010_Applications,Custom Development,2420,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,THE CHURCH OF JESUS CHRIST L D S,SQL Server 2012,Custom Development,20882.8,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,VISA U S A INC,SQL Server 2008,BizAnalyticsSolutionDevelopmnt,53500,,,,,,,,,,,,,,,,,,,,
FY2013-P01,West,WELLS FARGO & COMPANY,Visual Studio,Custom Development,379676,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,AMERICAN BUILDING MAINTENANCE,Azure_Applications,Web Application Development,43054.5,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,"CB RICHARD ELLIS, INC.",Azure_Applications,Web Application Development,1235646,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,"CB RICHARD ELLIS, INC.",BizTalk,Enterprise Strategy ITAP,44244,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,CHEVRON CORPORATION,SharePoint 2010_Applications,Custom Development,185760,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,CHEVRON CORPORATION,Visual Studio,Custom Development,89640,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,CONOCOPHILLIPS,SQL Server 2012,Custom Development,3384,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,DEERE COMPANY,SharePoint 2010_Applications,Custom Development,70560,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,ELI LILLY AND COMPANY,SharePoint 2010_Applications,Custom Development,157284,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,EXXON MOBIL,SharePoint 2010_Applications,Custom Development,214192,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,EXXON MOBIL,SQL Server 2008 R2,Custom Development,306936,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,KRAFT,SharePoint 2010_Applications,Custom Development,99465,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,MASTERCARD INTERNATIONAL,SQL Server 2008 R2,Custom Development,38610,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,MC DONALDS CORPORATION,SharePoint 2010_Applications,Custom Development,515840,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Central,TARGET CORPORATION,SharePoint 2010_Applications,Custom Development,83200,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Civilian,FEDERAL SMALL INDEPENDENT AGENCIES,Azure_Applications,Web Application Development,-215760,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Civilian,LOCKHEED MARTIN CORPORATION,SQL Server 2012,Custom Development,333700,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Civilian,U S DEPARTMENT OF AGRICULTURE,SharePoint 2010_Applications,Enterprise Strategy ITAP,282641,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Civilian,U S DEPARTMENT OF COMMERCE,SharePoint 2010_Applications,Enterprise Strategy ITAP,177280,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Civilian,U S DEPARTMENT OF STATE,SharePoint 2010_Applications,Custom Development,81123,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Civilian,U S DEPARTMENT OF STATE,Visual Studio,Custom Development,1663528,,,,,,,,,,,,,,,,,,,,
FY2013-P02,DOD,US ARMY POTOMAC,Visual Studio,Custom Development,72828,,,,,,,,,,,,,,,,,,,,
FY2013-P02,DOD,US DEPARTMENT OF THE NAVY,SharePoint 2010_Applications,Custom Development,783000,,,,,,,,,,,,,,,,,,,,
FY2013-P02,DOD,US JOINT DoD - DC - DLA / FT. BELVOIR,SharePoint 2010_Applications,Enterprise Strategy ITAP,238200,,,,,,,,,,,,,,,,,,,,
FY2013-P02,DOD,US JOINT DoD - SOUTHEAST,SharePoint 2010_Applications,Enterprise Strategy ITAP,2283300,,,,,,,,,,,,,,,,,,,,
FY2013-P02,DOD,US NAVY US MARINES CORPS HQ,SharePoint 2010_Applications,Custom Development,58203,,,,,,,,,,,,,,,,,,,,
FY2013-P02,East,AFLAC,SharePoint 2010_Applications,Custom Development,60800,,,,,,,,,,,,,,,,,,,,
FY2013-P02,East,BANK OF AMERICA,SQL Server 2008 R2,Custom Development,39900,,,,,,,,,,,,,,,,,,,,
FY2013-P02,East,EXELIS,SQL Server 2008 R2,Custom Development,198538.56,,,,,,,,,,,,,,,,,,,,
FY2013-P02,East,MERCK COMPANY INC,SharePoint 2010_Applications,Custom Development,120056,,,,,,,,,,,,,,,,,,,,
FY2013-P02,East,MERCK COMPANY INC,SQL Server 2008,Custom Development,172824,,,,,,,,,,,,,,,,,,,,
